n1,n2,n3,n4,n5,n6,n7
1.0000,1.0000,2.0000,0.0360,0.0130,0.0000,0.0000
2.0000,2.0000,3.0000,0.0330,0.0119,133.8400,101.1400
3.0000,2.0000,4.0000,0.0450,0.0162,16.2140,11.2920
4.0000,4.0000,5.0000,0.0150,0.0540,34.3150,21.8450
5.0000,5.0000,6.0000,0.0150,0.0540,73.0160,63.6020
6.0000,6.0000,7.0000,0.0150,0.0125,144.2000,68.6040
7.0000,7.0000,8.0000,0.0180,0.0140,104.4700,61.7250
8.0000,8.0000,9.0000,0.0210,0.0630,28.5470,11.5030
9.0000,2.0000,10.0000,0.1660,0.1344,87.5600,51.0730
10.0000,10.0000,11.0000,0.1120,0.0789,198.2000,106.7700
11.0000,11.0000,12.0000,0.1870,0.3130,146.8000,75.9950
12.0000,12.0000,13.0000,0.1420,0.1512,26.0400,18.6870
13.0000,13.0000,14.0000,0.1800,0.1180,52.1000,23.2200
14.0000,14.0000,15.0000,0.1500,0.0450,141.9000,117.5000
15.0000,15.0000,16.0000,0.1600,0.1800,21.8700,28.7900
16.0000,16.0000,17.0000,0.1570,0.1710,33.3700,26.4500
17.0000,11.0000,18.0000,0.2180,0.2850,32.4300,25.2300
18.0000,18.0000,19.0000,0.1180,0.1850,20.2340,11.9060
19.0000,19.0000,20.0000,0.1600,0.1960,156.9400,78.5230
20.0000,20.0000,21.0000,0.1200,0.1890,546.2900,351.4000
21.0000,21.0000,22.0000,0.1200,0.0789,180.3100,164.2000
22.0000,22.0000,23.0000,1.4100,0.7230,93.1670,54.5940
23.0000,23.0000,24.0000,0.2930,0.1348,85.1800,39.6500
24.0000,24.0000,25.0000,0.1330,0.1040,168.1000,95.1780
25.0000,25.0000,26.0000,0.1780,0.1340,125.1100,150.2200
26.0000,26.0000,27.0000,0.1780,0.1340,16.0300,24.6200
27.0000,4.0000,28.0000,0.0150,0.0296,26.0300,24.6200
28.0000,28.0000,29.0000,0.0120,0.0276,594.5600,522.6200
29.0000,29.0000,30.0000,0.1200,0.2766,120.6200,59.1170
30.0000,30.0000,31.0000,0.2100,0.2430,102.3800,99.5540
31.0000,31.0000,32.0000,0.1200,0.0540,513.4000,318.5000
32.0000,32.0000,33.0000,0.1780,0.2340,475.2500,456.1400
33.0000,33.0000,34.0000,0.1780,0.2340,151.4300,136.7900
34.0000,34.0000,35.0000,0.1540,0.1620,205.3800,83.3020
35.0000,30.0000,36.0000,0.1870,0.2610,131.6000,93.0820
36.0000,36.0000,37.0000,0.1330,0.0990,448.4000,369.7900
37.0000,29.0000,38.0000,0.3300,0.1940,440.5200,321.6400
38.0000,38.0000,39.0000,0.3100,0.1940,112.5400,55.1340
39.0000,39.0000,40.0000,0.1300,0.1940,53.9630,38.9980
40.0000,40.0000,41.0000,0.2800,0.1500,393.0500,342.6000
41.0000,41.0000,42.0000,1.1800,0.8500,326.7400,278.5600
42.0000,42.0000,43.0000,0.4200,0.2436,536.2600,240.2400
43.0000,43.0000,44.0000,0.2700,0.0972,76.2470,66.5620
44.0000,44.0000,45.0000,0.3390,0.1221,53.5200,39.7600
45.0000,45.0000,46.0000,0.2700,0.1779,40.3280,31.9640
46.0000,35.0000,47.0000,0.2100,0.1383,39.6530,20.7580
47.0000,47.0000,48.0000,0.1200,0.0789,66.1950,42.3610
48.0000,48.0000,49.0000,0.1500,0.0987,73.9040,51.6530
49.0000,49.0000,50.0000,0.1500,0.0987,114.7700,57.9650
50.0000,50.0000,51.0000,0.2400,0.1581,918.3700,1205.1000
51.0000,51.0000,52.0000,0.1200,0.0789,210.3000,146.6600
52.0000,52.0000,53.0000,0.4050,0.1458,66.6800,56.6080
53.0000,53.0000,54.0000,0.4050,0.1458,42.2070,40.1840
54.0000,29.0000,55.0000,0.3910,0.1410,433.7400,283.4100
55.0000,55.0000,56.0000,0.4060,0.1461,62.1000,26.8600
56.0000,56.0000,57.0000,0.4060,0.1461,92.4600,88.3800
57.0000,57.0000,58.0000,0.7060,0.5461,85.1880,55.4360
58.0000,58.0000,59.0000,0.3380,0.1218,345.3000,332.4000
59.0000,59.0000,60.0000,0.3380,0.1218,22.5000,16.8300
60.0000,60.0000,61.0000,0.2070,0.0747,80.5510,49.1560
61.0000,61.0000,62.0000,0.2470,0.8922,95.8600,90.7580
62.0000,1.0000,63.0000,0.0280,0.0418,62.9200,47.7000
63.0000,63.0000,64.0000,0.1170,0.2016,478.8000,463.7400
64.0000,64.0000,65.0000,0.2550,0.0918,120.9400,52.0060
65.0000,65.0000,66.0000,0.2100,0.0759,139.1100,100.3400
66.0000,66.0000,67.0000,0.3830,0.1380,391.7800,193.5000
67.0000,67.0000,68.0000,0.5040,0.3303,27.7410,26.7130
68.0000,68.0000,69.0000,0.4060,0.1461,52.8140,25.2570
69.0000,69.0000,70.0000,0.9620,0.7610,66.8900,38.7130
70.0000,70.0000,71.0000,0.1650,0.0600,467.5000,395.1400
71.0000,71.0000,72.0000,0.3030,0.1092,594.8500,239.7400
