n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
39.81,41.07,45.69,32.57,42.33,37.84,36.63,37.73,41.31,42.87,37.88,41.68,39.66,35.63,38.33,38.52,39.99,39.92,41.65,37.22,44.23,37.80,40.38,41.62,34.95,33.63,36.77,40.01,38.61,35.93,35.40,43.83,43.10,39.74,40.44,38.75,42.74,42.34,38.12,35.19,41.68,35.07,42.20,36.98,36.50,39.47,42.01,38.49,36.18,39.36
80.45,83.41,81.81,86.02,84.84,81.03,78.22,82.09,82.08,79.91,74.80,80.07,80.08,79.05,79.90,82.11,82.57,80.49,81.53,82.15,82.45,75.99,82.77,81.03,80.43,80.35,74.30,75.46,80.86,77.85,79.90,77.49,75.70,77.88,78.36,79.87,76.37,80.99,78.70,83.12,74.91,78.45,81.56,74.47,88.48,77.61,86.61,79.66,83.09,85.03
58.36,60.39,57.94,63.61,61.66,59.84,59.11,58.60,62.17,61.05,67.16,59.41,62.42,59.91,59.91,59.44,62.49,53.46,60.07,60.33,57.95,61.72,63.56,56.59,54.29,58.32,61.55,58.08,63.41,62.30,57.90,57.22,57.59,58.63,56.56,54.49,62.72,58.20,62.40,59.52,59.06,61.47,55.59,62.44,62.19,61.19,59.15,60.26,59.43,58.32
36.70,38.02,36.19,32.27,35.72,36.84,37.68,35.75,39.11,32.50,33.22,40.40,30.01,34.41,38.26,38.78,34.53,40.19,40.72,37.52,35.39,31.84,34.90,43.31,39.88,31.40,35.86,37.49,31.46,37.75,37.07,40.71,35.44,36.12,36.75,35.94,44.02,32.24,39.26,35.78,36.85,33.67,37.66,38.87,35.47,35.89,36.90,33.80,38.70,33.08
31.67,31.54,30.93,31.32,38.39,34.84,39.06,36.65,33.74,33.92,29.82,32.71,37.31,37.58,34.40,34.17,36.49,35.34,39.94,35.12,28.25,30.28,40.41,35.14,38.87,36.28,39.22,29.73,38.80,29.84,37.41,31.37,38.97,34.42,33.16,31.07,32.12,33.62,38.47,26.39,34.21,36.33,32.41,34.94,34.01,37.93,37.69,37.31,37.23,34.65
40.16,43.08,38.32,43.77,40.59,38.56,41.26,40.94,41.26,42.43,42.05,45.76,38.33,38.31,41.35,39.55,34.90,43.51,41.56,42.25,41.87,44.29,37.82,38.80,43.26,42.25,40.08,39.02,37.42,42.77,42.98,43.33,44.78,38.81,38.79,38.88,36.68,34.50,41.20,41.72,39.08,38.91,36.43,35.04,39.04,41.92,41.16,34.67,35.86,37.04
41.27,47.35,44.62,46.39,44.41,43.32,47.56,42.98,43.53,43.12,39.54,42.77,42.86,40.60,45.33,40.64,39.62,45.22,40.11,46.76,41.36,40.52,46.45,36.27,43.41,47.09,47.19,48.35,43.98,44.62,43.66,45.97,43.80,41.16,40.64,44.27,49.87,44.53,44.50,42.69,42.22,44.77,45.73,42.95,44.45,48.08,44.99,47.48,43.94,40.80
42.00,41.34,40.99,36.36,37.81,39.50,42.37,38.18,37.68,45.13,44.34,38.92,41.97,41.84,38.82,44.13,43.40,44.51,38.53,43.95,43.97,38.40,42.60,39.01,43.28,35.19,44.88,40.10,43.01,38.45,38.70,41.74,40.95,34.35,46.41,38.15,39.01,37.05,39.40,39.58,41.02,38.59,38.52,38.63,39.85,40.29,38.09,42.77,35.49,40.48
40.81,38.99,39.99,42.64,39.15,35.72,32.71,33.49,34.29,36.29,35.71,42.54,40.40,42.43,35.40,40.63,36.97,42.11,34.77,42.11,36.28,35.80,36.96,39.34,37.25,36.39,42.76,31.53,40.65,40.70,35.60,38.54,41.56,35.64,38.08,37.30,33.94,40.14,37.30,37.10,37.89,35.60,35.07,43.53,37.20,35.55,40.08,34.24,37.33,38.09
31.51,35.06,34.56,40.05,32.81,33.36,32.32,27.68,30.71,31.68,37.24,38.50,33.53,30.56,33.79,34.18,33.39,37.26,35.16,34.35,32.55,33.14,33.69,35.46,33.95,35.10,31.38,33.44,34.60,37.91,35.98,34.24,36.08,38.62,32.61,34.27,30.67,40.41,34.35,28.37,32.81,33.92,32.58,34.28,39.58,30.65,31.90,34.64,34.98,33.45
