path_number,start_node,end_node,R,X,real_load,reactive_load
0,0,1,1.097,1.074,100,90
1,1,2,1.463,1.432,60,40
2,2,3,0.731,0.716,150,130
3,3,4,0.366,0.358,75,50
4,4,5,1.828,1.79,15,9
5,5,6,1.097,1.074,18,14
6,6,7,0.731,0.716,13,10
7,7,8,0.731,0.716,16,11
8,3,9,1.08,0.734,20,10
9,9,10,1.62,1.101,16,9
10,10,11,1.08,0.734,50,40
11,11,12,1.35,0.917,105,90
12,12,13,0.81,0.55,25,15
13,13,14,1.944,1.321,40,25
14,6,67,1.08,0.734,100,60
15,67,68,1.62,1.101,40,30
16,0,15,1.097,1.074,60,30
17,15,16,0.366,0.358,40,25
18,16,17,1.463,1.432,15,9
19,17,18,0.914,0.895,13,7
20,18,19,0.804,0.787,30,20
21,19,20,1.133,1.11,90,50
22,20,21,0.475,0.465,50,30
23,16,22,2.214,1.505,60,40
24,22,23,1.62,1.11,100,80
25,23,24,1.08,0.734,80,65
26,24,25,0.54,0.367,100,60
27,25,26,0.54,0.367,100,55
28,26,27,1.08,0.734,120,70
29,27,28,1.08,0.734,105,70
30,69,29,0.366,0.358,80,50
31,29,30,0.731,0.716,60,40
32,30,31,0.731,0.716,13,8
33,31,32,0.804,0.787,16,9
34,32,33,1.17,1.145,50,30
35,33,34,0.768,0.752,40,28
36,34,35,0.731,0.716,60,40
37,35,36,1.097,1.074,40,30
38,36,37,1.463,1.432,30,25
39,31,38,1.08,0.734,150,100
40,38,39,0.54,0.367,60,35
41,39,40,1.08,0.734,120,70
42,40,41,1.836,1.248,90,60
43,41,42,1.296,0.881,18,10
44,39,43,1.188,0.807,16,10
45,43,44,0.54,0.367,100,50
46,41,45,1.08,0.734,60,40
47,34,46,0.54,0.367,90,70
48,46,47,1.08,0.734,85,55
49,47,48,1.08,0.734,100,70
50,48,49,1.08,0.734,140,90
51,69,50,0.366,0.358,60,40
52,50,51,1.463,1.432,20,11
53,51,52,1.463,1.432,40,30
54,52,53,0.914,0.895,36,24
55,53,54,1.097,1.074,30,20
56,54,55,1.097,1.074,43,30
57,51,56,0.27,0.183,80,50
58,56,57,0.27,0.183,240,120
59,57,58,0.81,0.55,125,110
60,58,59,1.296,0.881,25,10
61,54,60,1.188,0.807,10,5
62,60,61,1.188,0.807,150,130
63,61,62,0.81,0.55,50,30
64,62,63,1.62,1.101,30,20
65,61,64,1.08,0.734,130,120
66,64,65,0.54,0.367,150,130
67,65,66,1.08,0.734,25,15
68,8,49,0.908,0.726,-1,-1
69,8,37,0.381,0.244,-1,-1
70,14,45,0.681,0.544,-1,-1
71,21,66,0.254,0.203,-1,-1
72,28,63,0.254,0.203,-1,-1
73,44,59,0.254,0.203,-1,-1
74,42,37,0.454,0.363,-1,-1
75,38,58,0.454,0.363,-1,-1
76,20,26,0.454,0.363,-1,-1
77,14,8,0.681,0.544,-1,-1
78,66,14,0.454,0.363,-1,-1
